iter	Passed	Remaining
0	34	17066
1	67	16744
2	99	16513
3	133	16542
4	169	16781
5	201	16599
6	234	16513
7	267	16468
8	300	16391
9	335	16456
10	372	16566
11	408	16601
12	443	16616
13	480	16667
14	516	16704
15	550	16639
16	583	16577
17	616	16507
18	649	16444
19	683	16414
20	715	16326
21	749	16280
22	783	16251
23	816	16197
24	850	16165
25	885	16134
26	919	16115
27	955	16108
28	990	16090
29	1024	16055
30	1058	16009
31	1094	16005
32	1131	16008
33	1166	15991
34	1208	16050
35	1247	16080
36	1285	16089
37	1321	16062
38	1354	16008
39	1387	15954
40	1420	15902
41	1454	15859
42	1488	15818
43	1521	15766
44	1553	15712
45	1587	15666
46	1620	15618
47	1653	15567
48	1687	15529
49	1721	15495
50	1756	15462
51	1790	15422
52	1822	15373
53	1858	15350
54	1893	15324
55	1930	15302
56	1965	15275
57	2002	15262
58	2040	15249
59	2075	15219
60	2110	15192
61	2144	15147
62	2177	15106
63	2212	15071
64	2245	15028
65	2278	14985
66	2312	14948
67	2345	14903
68	2380	14866
69	2415	14839
70	2448	14792
71	2481	14749
72	2514	14708
73	2547	14664
74	2582	14635
75	2615	14594
76	2649	14556
77	2683	14518
78	2718	14485
79	2751	14447
80	2786	14416
81	2825	14401
82	2860	14370
83	2895	14340
84	2930	14308
85	2965	14276
86	3003	14259
87	3039	14232
88	3074	14195
89	3107	14156
90	3140	14114
91	3172	14069
92	3205	14028
93	3238	13988
94	3270	13942
95	3303	13900
96	3336	13862
97	3368	13819
98	3399	13770
99	3432	13731
100	3466	13693
101	3498	13652
102	3532	13615
103	3566	13578
104	3599	13540
105	3634	13508
106	3668	13475
107	3707	13458
108	3748	13445
109	3782	13412
110	3816	13375
111	3851	13341
112	3882	13297
113	3915	13258
114	3948	13219
115	3984	13189
116	4021	13163
117	4057	13134
118	4092	13104
119	4128	13072
120	4164	13044
121	4199	13011
122	4233	12976
123	4267	12938
124	4298	12895
125	4332	12858
126	4365	12821
127	4398	12784
128	4432	12747
129	4466	12711
130	4499	12673
131	4530	12631
132	4564	12595
133	4597	12558
134	4631	12521
135	4666	12488
136	4698	12448
137	4733	12416
138	4767	12380
139	4799	12341
140	4832	12303
141	4865	12265
142	4898	12229
143	4931	12192
144	4965	12157
145	4997	12117
146	5030	12080
147	5063	12044
148	5098	12009
149	5131	11972
150	5165	11937
151	5197	11900
152	5231	11864
153	5263	11826
154	5296	11788
155	5329	11751
156	5362	11716
157	5396	11680
158	5431	11648
159	5466	11615
160	5498	11576
161	5530	11539
162	5563	11501
163	5596	11465
164	5629	11428
165	5661	11391
166	5695	11356
167	5728	11319
168	5761	11284
169	5794	11248
170	5828	11213
171	5862	11180
172	5897	11146
173	5931	11113
174	5966	11081
175	6003	11050
176	6039	11021
177	6072	10985
178	6106	10950
179	6139	10913
180	6172	10877
181	6205	10842
182	6240	10810
183	6280	10786
184	6315	10752
185	6347	10715
186	6380	10678
187	6415	10646
188	6450	10613
189	6482	10576
190	6516	10541
191	6548	10505
192	6582	10469
193	6617	10437
194	6652	10405
195	6689	10375
196	6771	10415
197	6829	10415
198	6861	10378
199	6894	10341
200	6927	10305
201	6961	10269
202	6993	10231
203	7026	10195
204	7060	10160
205	7093	10123
206	7128	10089
207	7164	10057
208	7200	10025
209	7237	9994
210	7272	9961
211	7308	9928
212	7344	9895
213	7378	9861
214	7413	9827
215	7447	9791
216	7478	9753
217	7511	9716
218	7544	9680
219	7577	9643
220	7610	9607
221	7642	9570
222	7676	9535
223	7710	9500
224	7742	9462
225	7776	9427
226	7810	9393
227	7843	9356
228	7876	9321
229	7909	9285
230	7941	9248
231	7975	9213
232	8008	9177
233	8042	9142
234	8076	9107
235	8110	9072
236	8143	9036
237	8178	9003
238	8211	8967
239	8245	8933
240	8280	8899
241	8315	8865
242	8351	8832
243	8385	8797
244	8419	8763
